month,transaction_count,to_address,from_address,artifact_name,project_name,to_address_rawscore,from_address_rawscore
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x400153c66fcca59c35d215c00f7e30e6fca73d43,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-07,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x191b24534b6116c635d918931f18cc73aee906c2,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,3.19
2024-05,2,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x0f7ce1ad3c662f243df026efdb27079b01cee922,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xc5b224af929f8a2a9553001a7a87b0e920e9ff32,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-07,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x2c7e063bf10d95f0c88f1e63e23b73b953e5f265,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x2adf5ec9b146e3b12bfa318ea6600df3f3191968,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-06,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x4d10e49839396eb1da487ca5698dcf89ff00ddc0,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-06,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xaf6624648ca5d98aa2abc60c62437a3f19586a5a,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-08,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xea621980ffb571f87a82fccbdee9aa414353eb96,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-08,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x999a628fa8b496e1af343540ad53780569796018,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x191b24534b6116c635d918931f18cc73aee906c2,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,3.19
2024-04,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0xef9ce922d7848a0a745bfd192f2d98e5e9802da6,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-07,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x6121f5a7f93c52cf7f0868bcd01756381b35a4cb,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,
2024-05,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x9e75714a7c01ca76d3ace0ff043b3d8f5cbae563,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,4.21
2024-08,1,0xfb2dc580eed955b528407b4d36ffafe3da685401,0x426cc7d61b046e5381a8015659eda92fa49194bd,0xfb2dc580eed955b528407b4d36ffafe3da685401,umbra-scopelift,,20.246
