project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
zFhbRkToe4cmDgz_mye7IPC-RXxLwBvP1Qq_32pWCG8=,OSS_DIRECTORY,oso,decentralized-library-gifted-brain-lab,Decentralized Library,GITHUB,1,2022-06-25 03:53:25+00:00,2024-08-08 00:23:16+00:00,33,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
kWHwpnr4lmIFWxAyRcAwdMd2XxQ9-Nq86bWsftLvbrc=,OSS_DIRECTORY,oso,web3-gpt,W3GPT,GITHUB,1,2024-04-16 19:01:05+00:00,2024-09-04 20:08:36+00:00,9,2,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
FCF3aJF8Sqe3b0hdnTYGt_u_YdXVt9IFNSbCaZXVuhk=,OSS_DIRECTORY,oso,merkle-root-inc,Hexman,GITHUB,5,2023-08-18 20:17:01+00:00,2024-08-16 15:02:35+00:00,0,0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
JFq-iwGwIQrnVt0T7CwaVfsefjXknPPNfe4cABhxzyA=,OSS_DIRECTORY,oso,rndao,RnDAO,GITHUB,13,2022-07-04 13:07:23+00:00,2024-07-17 19:28:02+00:00,5,10,20.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
ZT6W9bnyC0m5T8MY7bRYGZ7maO_eGrZ9-7Et5aqSCN8=,OSS_DIRECTORY,oso,bloomnetwork,Bloom Network,GITHUB,1,2023-04-19 12:19:15+00:00,2024-09-07 04:16:09+00:00,1,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LhkKxfYSJQa0S5_iOiAFpY44yDhR6dsMfOEFwI5vLlQ=,OSS_DIRECTORY,oso,coindlabs,CoindPay,GITHUB,1,2024-07-13 05:48:10+00:00,2024-09-09 09:52:34+00:00,1,1,1.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
gxFQ-R2HhThIoNUP7P6Z8b-vdPCTIFsovfFyt0Idqfs=,OSS_DIRECTORY,oso,elefria-labs,Elefria Labs,GITHUB,6,2022-03-05 07:52:26+00:00,2024-09-16 16:21:23+00:00,78,23,6.0,1.0,0.0,0.021739130434782608,1.0,176.0,15.0,15.0,0.0,0.0
qWnugSV3ci1P7JOE0r-1TM8SEfhpdu7RYpdQO89Q6BE=,OSS_DIRECTORY,oso,ekonavi,Ekonavi,GITHUB,10,2023-05-02 15:59:48+00:00,2024-09-02 21:57:51+00:00,0,0,2.0,1.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0
gH36826YRj2DNvNi3i8xn3HqVEg09WpTQZPFfbCB97s=,OSS_DIRECTORY,oso,grantsscope,GrantsScope - Grantee Discovery Using LLMs,GITHUB,12,2024-04-18 17:10:13+00:00,2024-09-15 06:32:30+00:00,2,0,1.0,1.0,1.0,0.0,1.0,174.0,0.0,0.0,0.0,0.0
2sDjBRX9h3o-WNf76pcIwXgzj1oTzda5njdImJjm3K0=,OSS_DIRECTORY,oso,inferer,Inferer,GITHUB,9,2022-07-04 12:56:42+00:00,2024-05-27 09:18:21+00:00,0,2,5.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0
FYtK3-wfw87a625Dws8HuOo2Z2siHWhCV03CXzP_2Y0=,OSS_DIRECTORY,oso,duel3,DUEL3,GITHUB,1,2024-08-06 04:25:26+00:00,2024-08-08 07:03:31+00:00,0,0,1.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
PgyvxX4fcsU0hjfWbdA2glhagZFZfvCQMaAKb_ozAbs=,OSS_DIRECTORY,oso,theforus,The Forus,GITHUB,1,2023-04-30 10:31:37+00:00,2024-09-07 14:44:39+00:00,1,0,2.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0
